Do you give consent for AIR to use the data from this survey?,Did you work in Edmonds School District in 2021-2022?,Please select a primary role describing your work with Edmonds Public Schools during the 2021-2022 school year. Select the answer that is most accurate.,,What grade levels are included at the site(s) in which you taught/worked in 2021-2022? (Check all that apply),,,PD topics,data-driven decisions why disagree,climate culture facilitators,climate culture barriers,effective communication,ineffective communication,communication recommendations
Yes,Yes,District administrator,,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),How to run classroom with fewer paras.,IEP teams seem to quickly assign 1:1 paras which are the most restrictive without assessing the possibility of a less restrictive accommodation.,,,,,It seems that there is a detachment between the Assistant Superintendent and the special ed. directors about roles and responsibilities and that trickles down to confusion at the building.
Yes,Yes,Special education teacher,,,,High school (grades 9-12),"Writing IEPs, Differentiated learning",,My administrators care for the staff and work hard to make sure all treated fairly and equitable practices are being upheld.,"The guidelines by the district on Special Education are not clearly defined. Some Gen Ed staff  and Special Ed staff are unclear of what their roles are and how students can be better supported.  Understanding the IEP is a training that I have not seen conducted by the district and wonder if Gen Ed teachers, eepecially new, know their responsiblities.  Not much time is spent in the area when it comes to EFFECTIVE district training.",School-level is effective but I'm unsure how they both collaborate. District newsletters seems to provide a general awareness. ,"Sometimes, it is hard to contact the district in the SPED department.  Most of my information is school-level. ",I'm not sure as a whole and can only speak about my department. I have not received the support needed in SPED and feel that change is needed for better and clearer communication on expectations.
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,strategies for out of control students,"We have 2 students currently who qualify for different placements and are consistently told there is no room to take them elsewhere.  Huge impacts on the whole school, classrooms evacuated DAILY.  ",More help.  More 1-1 for those out of control students.  Smaller classes would really help.  Hire more paras to help coach behaviors on the playground,"My sped team is working FLAT OUT.  There is no time for meaningful push in model that we all dream of as they are constantly dealing with fires DAILY.  Minutes are lost.  This is a new team to the building and district, they are competent and very capable educators and I do not believe they are being supported at the district or building level. ","Parent square translating into languages helps to a point, face-to-face with translators is more powerful.  These meetings take so much time, more release time for teachers, sped and admin to meet with these families who are typically in crisis.","Giant packets of IEP sent home to people who cannot read or cannot possibly grasp the importance.  Having to chase down these parents at the busess to get them to sign off, even going to a docu sign wouldn't help as many don't have access to internet.  It's a conundrum.","Pay teachers to have office hours beyond 5pm certain times of the month to help meet those parents who work full time.  Maybe a Saturday, pay for food to get them to come.  "
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,How to create and implement behavior plans for kiddos with IEP's,,,It takes an extremely long time for students to move through the process of being identified as possibly needing IEP services through to being evaluated and then to finally being placed with a case manager.,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,,"The communication with the placement process in terrible. For example, I had two students this past year that no one from the district contacted them about the change in programs before it was made.  There is only one self contained option at the elementary level. I have been told no matter their skill level, they will be in my room,even though there may be a program that better fits. Decisions do not seem to be consistent in that matter though. I have two students who are new to me this year, and there is a self contained program offered. I have been told ""off the record"" that students are coming to me because I can build relationships with families that are strong. There needs to be more thought at the district level on how our classrooms are supposed to serve such high numbers with an insane amount of abilities all qualifying for the same program. Other districts around us have much stronger placement decisions and have more programs available, making placement more clear for each program. ","If we had fully staffed classes and smaller caseloads, special education teachers would not be struggling so much . This impacts our attitude of climate and culture in our district. Our staff and caseloads are just a number to the special ed leadership.     If schools were not told to ""figure it out"" by district leadership, and instead help solve problems, that would also help. Our principals can only do so much and know so much. We NEED leadership to show they care. We NEED them to help with solutions. It shouldn't take us telling them how many IEP minutes are not being met for them to take action. ",I feel that overall my school is doing well. Our principal supports us. It is at the district level that the support stops. ,Newsletters- when they are sent out on a regular basis ,,A priority of monthly school sped meetings WITH a manager. They have been cancelled often in the past. Not even sure if it is a standard practice anymore. 
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,,"Number of staff available to support students, subs being used instead of teachers to provide support to students who need it most",,"Scheduling meetings is difficult with many people, wish there was a system to use to share with parents",
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,,It is hard to get support with placement. It seemed like you had to be very annoying to get help from someone about options. The options were not obvious to someone newer in the district. It seemed like there may be a push to keep kids at their neighborhood school rather than to a school with a classroom that had a collection of similar peers.,,,,,
Yes,Yes,School administrator,,Elementary school (grades Pre-K to 6),,,,,"We have to address the labor shortage and the impact it has on staffing, particularly for students placed in intensive support classes.","The site administrator needs assistance with leadership (professional development, evaluations and day-to-day management of IS classes)  for the elementary, secondary, and intensive support","The school-level teams (Resource Room & IS) are extremely cohesive and collaborative, e.g. ongoing, specific communication; shifting paras to understaffed classes, daily & weekly meetings, and collaboration on instructional and intervention strategies.",Not responding- even to acknowledge receipt- to email.  Teachers' frustration (based on prior experience) of not knowing whom to talk with/when.  The communication flow chart is helpful- when we use it!,"Teachers need to have more training to support and understand the complex needs that our students bring to school.  Many 1:1 paras are needed per IEP, and there is a labor shortage."
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,,Because I am a teacher and the process is not clear to me. ,Teachers working together,Communication around systems is lacking,Staff meetings where everyone in the community can hear the same message.,important things to know that are only in email because it can get lost or not everyone will read it. ,"a more uniform way for principal to distribute information to staff. Being a staff member at multiple schools, I could tell that some principals share more information than others. "
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"I don't need PD, I need streamlined collaboration with the Special Ed teachers, where they are working to support the student toward the classroom objectives.",,"Special ed. teachers have too many students to serve them well. They need enough teachers to do more push-in models; to give Sped  teachers time to coordinate with Gen. ed; to support roaming oppositional students so admin can get back to supporting staff. More teachers, more time! Not more training!!!!!",Our daily schedules are so compressed that it is impossible to find times for IEP students to be pulled out where they are not also then missing core instruction. There is confusion around who gives grades for which areas. ,,,
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Trauma informed practices  De-escalation practices     ,"We consistently see students whose needs are more than can be served in a general education classroom, or in a school without a intensive support or ISES class. Due to either 1) parent refusal or 2) district refusal these students are being kept in a general ed classroom sometimes with little to no support other than the gen ed teacher, who is also serving 20+ other students. Even in cases where a full or part time staff member is assigned to support a student with this degree of need, multiple times in the last two years we have had MULTIPLE staff members injured to the point of having to leave their jobs by students who were still not being supported appropriately. The general educator in these classrooms, as well as many other team members from our buildings have fought (and lost) the battle that this was not their least restrictive environment. ","Our building administration and staff are incredibly supportive of students and want all students to be successful. We are drowning in the amount of support that our current studnet body needs. We need MORE dedicated support for students who elope, are aggressive toward staff, and disrupt the learning environment at the school. Our entire building is suffering due to the amount of time we are having to cover the extraordinary needs of the students who should be receiving services. Also, more staff to adminster intake, evaluation/assessment, and feedback meetings. It will have taken over 6 months of time this school year to get a child services who we knew needed services coming out of last school year. That is 6 months of wasted learning time and 6 months of disrupted learning for the rest of the students in our classroom.","The district's lack of support in allocating appropriate staffing to cover the needs of the students at our building is hindering our ability to build a positive culture around special education. Also, the pushback about changing placement for students who may need a different learning environment has caused a climate of incredible stress and trauma in both the students who need special ed services (and may/may not be receiving them) and the students who are witnessing the learning disruptions/aggressive behaviors toward staff and other students. ",*Dr. Miner's letters have been very effective.   *Anytime I have a conversation with my building admin I feel empowered about making changes in the building. ,*The total lack of communication regarding special ed services  ,
Yes,Yes,General education teacher,,,,High school (grades 9-12),"More SIOP training, supporting students with their IEP goals, accessing the online IEP, providing evidence for IEP meetings, 504 plans, and collaborating with IEP case managers.","I think ""consistently"" is the word I disagreed with. I know that in some cases, parental input has been dismissed or trivialized in cases where the parents' first language is not English. There seems to be a trend whereby English learners have encountered obstacles to getting Special Ed services, despite clear evidence from teachers and parental information, perhaps due to a fear of ""overidentifying"" English learners.","Our administrators do strive to ensure that there is a positive climate for teachers and students, but I don't know what else they could do to help facilitate a more positive climate/culture related to special education.",The only barriers I have seen have been ML students being hampered from receiving special education services due to their English language level.,,,
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),"Inclusion for student in LRE with 0-39% inclusion, or IS students. What makes inclusion meaningful? How is home school placement supported to do this well? When is gen ed time not really inclusion? Address how to/data based strategies and include all IS teachers, paras, and related providers","I see different models being used to address placement at different schools. Children who are struggling in their placement in one school, are then shifted to another school with a more appropriate program. Yet, the school then claims to be inclusive because the remaining students go to gen ed classes with less support than the student who left, actually needed. It feels like two different sets of rules. Go to neighborhood school vs go to school with a program that meets the student's needs is confusing sometimes. The use of data to explain how the child needs more does not always lead to more support. If LRE/inclusion is valued, why not give more support at the neighborhood school, sometimes by training the staff to keep the student in their school instead of sending them somewhere else. ","more universal design archecture in place for bathrooms, playgrounds, door access, and lunch room; more PE accessible equipment provided with training on how to use; enough staff for children with severe health or behavioral problems to be supported without detracting from learning of other students who may also need support","lack of adequate staff for children with severe health and behavioral problems to support them safely, while also attending to children who need more than gen ed single teacher support. When a child has to go outside to use a ramp to get to their next class or use an evac system because the elevator is broken, or use a different entrance to gain access, it shows a lack of universal and itelligent design sensitive to special needs. All school wings should have accessible bathrooms. All children should feel safe with the equipment they need to access the building, the bathroom, the classroom and lunch room. All children should have play opportunities at recess even if their physical bodies cannot run or access playground equipment built for able bodied peers. More conversations in professional development for all teachers/paras are needed around disability as an focus of equity. We have had so many equity conversations and so little talk about disability in those talks. Race, ethicity, language are all important, yes, but now include disability in how we acheive equity as a district. Look at barriers as a community not just as a problem of specialists. ",My supervisor does a great job commuicating to me and my team in staff meetings. Required district level trainings are valuable (to a point) and have been on point with regard to equity. ,More focus on equity with regard to special needs and disability would be valuable to all staff in the district. Communication has improved. The current newletter is easier to read and clearer with regard to what I need to know regarding updates in special education practices and district expectations. ,"It may be staffing at the administrative level, but I hear too often of requests for support regarding staffing in the classroom that there isn't time to address the problem. The placement process would be a topic of discussion that would be a good place to start. The process has changed dramatically over the last few years. This may be a point of professional development to engage teachers in how placements are made, and how it has changed, and what to expect. Support for inclusion may also come from professional development for all teachers not just those in special education, but job alikes with admin presence may be a good place to be more transparent and instructive on how these big decisions are made. "
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,High school (grades 9-12),"BEHAVIOR, IEP writing, Special Ed law ",The teachers and principals at the building level do a good job with placement.  Special Ed admin in Student Services have done a horrific job of placing students.    There is no rhyme or reason.  Students are also placed mid year with teachers with no prior warning.  Whole teams are also not invited to IEP meetings on placement decisions.   They will drop a student into a class and not provide any support to the teacher.   The parents trust that the district is making the right decision and it is so sad to see their students' needs completely being overlooked. ,"I don't think there are currently any factors and practices occurring that facilitate positive climate and culture at the DISTRICT level.   A lot of us are happy in our individual schools but working in SPED there is only so much our schools can provided.  For the administrators at the district level, especially those in student services, they need intensive leadership training.  Factors that could lead to a positive climate and culture are open communication, responding to your staff (like any type of response because often our teachers get nothing, not belittling teachers but lifting them up, believing teachers when they say they need help, prioritizing health and safety, asking for opinions about placements and LISTENING to teachers.  ","I truly believe that there are certain administrators at the district level promoting toxic work environments.  This includes bullying and retaliation against staff members.  They are being heard talking ill about other staff members, making fun of teachers after listening sessions, being rude to teachers when they are asking for help and making many teachers feel unheard.  ","District level- THERE ARE NO EFFECTIVE COMMUNICATIONS.  Student Services staff last year did not respond to emails and would ignore teachers when they were pleading for help.  Many teachers got significantly hurt last year.      My principals do a great job of communicating.  From weekly emails, to responding to emails, to checking in person and always being available via radio.     ISSD has and continues to do a great job with communication.","DISTRICT- not responding to emails, ignoring emails, sending out a ""newsletter"" that makes no sense",The District Administrators need to send out more clear communication that doesn't lead to further confusion.  Student Services needs a leadership team with teachers to help guide them in how to best communicate with their staff.  They also need to simply respond to emails      ISSD has and continues to do a great job with communication. 
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,,,High school (grades 9-12),"I think there are two answers to this question--what do teachers need, and what do psychologists mean. I think for teachers appropriate accommodations and modifications for general education, how to design instruction,  and trauma-informed practices","We do not have consistency of practice across schools, and we don't have strong district guidelines about placement decisions or what constitutes a good change of placement decision. This used to be stronger, but has deteriorated since COVID. ","Teachers really care about students. They are flexible, understanding, and create relationships. ","Most of our special education students are in very restrictive environments, especially considering their needs. Rather than accommodate/modify for their success in general education, it becomes special educations job to get a student through. ","I really value the communication between myself and my school-based team (based on respect, care for students, and a strong work ethic). This is done through emails, face to face, and monthly meetings. ","Communication from special education district leadership has been confusing, dismissive, and has not listened or provided support/answers for the extreme difficulties being felt at the school level. ","More listening from the district--with the best being more observational or hands-on time in the buildings. More ""middle-management"" supervisors to support all the million confusing special education questions in buildings (like a person that gets paid to provide support as a quad leader). "
Yes,Yes,Special education teacher,,,Middle school (grades 7-8),,I would like there to be more professional development for general education teachers on students with disabilities. It is a shame how student's with disabilities are treated in this district and in this society.... teachers do not know how to teach students with disabilities. Majority of our middle school students with disabilities are failing all if not most of their general education classes due to lack of support and training. ,"I have been battled on putting a student in their least restrictive environment, general education, by other teachers at this school including special education teachers. We have probably about a dozen students who are in a special education English class when they only receive writing services. It is such a shame the disservice the district and our schools are doing to these students. Also we are allocated 2.5 learning support paras for our school which is served by poorly trained paraeducators who do not know how to support our students. ","There is not much. I would say if you are disabled enough for others to see then you are treated either like a baby or a saint which can be viewed as good I guess? although I'd argue against that. Sometimes there are very caring teachers so that would be good I suppose. But overall, there really is not much. ","I think there are tons of barriers. Some are very structural like overall view of what it means to have a disability. Students with disabilities are very discriminated against here just by pure language use and how funny and laughable it is for a student to receive services. Lack of supports and training is another huge barrier. Are paraeducators are poorly trained and cannot provide adequate support but we are also only allocated 2.5 students for our resource special education programs and then the class sizes are too big for our special education classes as well. Our general education teachers either do not care or do not have the training to support students with disabilities hence why most of the students are failing majority of their general education classes, unless you are a life skills student then the teachers just don't have expectations for you at all! ","I like email and newsletters, especially are sped newsletters. I wish we had a special education site like last year. ",Not very sure. ,Not sure. 
Yes,Yes,Special education teacher,,,Middle school (grades 7-8),,,"Decisions made are totally random it seems. Sometimes kids are placed because it's their area school, other times that thought process is abandoned. Certain kids are sometimes placed in one program over another without a justifiable reason. ESC Special Education Staff is very unsupportive. They don't know the kids or the programs. They have never asked the questions needd to know the various programs and how they work.",The school leadership is most effective. The Special Education Administrators are not effective. They continue to NOT COMMUNICATE.,"The ESC Administrators in Special Education DO NOT know their programs or students. The individual school administrators in our building are fantastic, but they are doing it on their own with their school staff. ","School level is effective. The District Special Education staff need proffessional development around how to effectively communicate with staff, and parents.","COMMUNICATION! The District Special Education Department Administrators don't take the time to get to know the students, staff, and or programs they are supposedly in charge of! They do not ask to visit programs to talk to staff.",HUMAN CONTACT! NOT ZOOM! Answer the phone. Show up at meetings. If you don't have the answer admit it and find it and get back to the question in a timely manner. RELATIONSHIPS!
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,open communication between staff and district administration   staff feeling like they are being heard and respected,Lack of communication and support,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,,,More education about neurodiversity is necessary,Closed-mindedness and lack of willingness to adjust teaching practices ,Prompt responses from special education staff,,
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,High school (grades 9-12),Specific on site special Ed training with autism and other mental health and other developmental disabilities.,,We need to put a physical barrier up on top of the staircase on the south side on second floor in order to be more safe. Also this should be installed to stop students from jumping over the to be installed railing!,Communication is a huge barrier between ESD snd our school mainly about safety and special Ed students! ,I think equity is effective in our school. ,Safety and special Ed students is a huge problem in our school snd two glass windows have been broken in our school by special Ed students within less than 2 months!!,More snd improved communication must happen in order to have less violence and aggression in our school!!
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,Teaching significantly more than 3 grade levels behind students math. More PD around behaviors and SEL would benefit all educators. Second Step is a great curriculum but so many teachers do not use it consistently or completely. There needs to be a common language that is used across individual schools and that transfers across the district ,"As a choice school employee, I see students who are here with siblings who may not be in programs that best meet their individual needs. They are here because parents prefer to have their children at the same school and it doesn't always seem as if we have the resources that they require. ",We need more time to collaborate with teachers regarding students who receive SDI as the school year begins and when an new IEP cycle/goals are written. There needs to be time to work together to develop a plan that keeps students in the LRE and supports growth towards goals by all members of the IEP team.,"Introduction of new teaching concepts/pd's that don't take into account the needs of students with SDI is a barrier at our school. Students are often ""put on programs/tech"" to fill gened classroom time.","I believe the district tries to communicate effectively in SPED however there are too many ways that information is distributed (Newsletter, other emails and websites) and it becomes time consuming to target the information/curriculum when you needed it. ",I think 1 website space that housed all information and curriculum and IEP support links would be most effective. It would help if links worked. ,above
Yes,Yes,Other (please specify),I am certified,,,High school (grades 9-12),Autism.  Motivation. Mental health support,There is significant parent influence.  Type of disability makes a difference,Building relationships.  Flexibility,Not enough time to meet with each other for group discussion and problem solving,Parent square email helpful,Large meetings,Outreach to community
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Expectations of ISES students in the general education classroom and clarity of when to join.,No data is mentioned when an ISES teacher comes to say that a student is ready to join General Education.  ,,,,,
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),"Neurodiversity paradigm and movement.   Countering ableist and otherwise harmful mental health and educational practices (e.g. ABA, certain social skills programs).   Mental health treatment in school (for all levels)  How to provide school counseling services at the elementary level.",,"We serve a large number of neurodivergent students at our school. Some receive special education services, some do not. We are accepting, flexible and accommodating and we work in partnership with parents to develop individualized student learning plans.","Many parents at our school don't trust the system and have had a bad experiences with special education. Some have come from traditional schools in the district and/or from self-contained programs where parents feel that their student's needs were not met or where they may have experience trauma (e.g. bullying, isolation and restraint, chaotic classroom environments, inadequate supports, etc.). We work with parents to rebuild that trust, especially when it's clear that their student needs special ed supports.            ","*Returning emails and phone calls  (not a problem at the building level)  *Communication that feels authentic and meaningful and that empowers staff, giving them a sense of belonging and purpose.",*Repeated lectures about the importance of self-care  *Not responding to people's emails.  *Promises that effective MTSS is coming (we've been waiting since 1997). Our district Tier II system is weak and inconsistent across building.  *Failing to provide support re: provision of elementary counseling services,"*Listen to what teachers and support staff are saying (do not dismiss, diminish or belittle).  *Follow recommendations from district SEL curriculum adoption (2017) including continuing with the work.  *Provide clear leadership and communication in the areas of SEL (who's in charge? who should be doing what? Who is accountable? Do P-3 teachers even know they are supposed to be teaching Second Step? Do principals know this?)  *Provide clear leadership and PD support for elementary counselors (we had this support for over 20 years until the psych dept coordinator position was eliminated in 2019). "
Yes,Yes,Other (please specify),Support Staff at ESC,,,,,,,,,,Meetings between general education and special education support staff to build collaboration.
Yes,Yes,Other (please specify),custodian,Elementary school (grades Pre-K to 6),,,all,,,,,,
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,,I worked as an office manager and did not see the administration team take pre-emptive action in placing students. Only after a parent complained did they review and assess the placement for the student.,,,,,
Yes,Yes,Other (please specify),Working both as a sped and gen-ed teacher,Elementary school (grades Pre-K to 6),,,"I think there are too many superlative ""trainings"" that seem to be a waste of time for professional certificated teachers. ",Children appear to be placed into classrooms solely based on openings in the classroom. ,The teachers and para-ed staff are knowledgeable professionals who care very deeply about their students.,The placement of students into classrooms. Inclusion is not just placing special ed kids into a gen-ed classroom.  Inclusion must be planned and thought of carefully.  Students and staff are not given the adult support they need to help support the learning of special-ed students in the classroom.,The district and school effectively communicate to parents.,"There is a feeling that staff, especially teachers, are not listened to and their professional opinions are not given weight.",
Yes,Yes,General education teacher,,,Middle school (grades 7-8),,I feel like I don't know enough to even respond to this.,,,,,,
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,,,High school (grades 9-12),MTSS work,"As a school counselor it is clear to me that families do not know what it takes to qualify for an IEP.  Placement decisions are somewhat based on the school psychologist,given who/when they are willing to test.  Access varies based on the psychologist.",It would be helpful if the high school student with an IEP felt they had more voice in saying which course they are able to take.  Sometimes in the interest of getting them graduated we do not allow them to take academic risks.,"In the interest of getting students with IEP's graduated, we track them into certain courses or teachers' classes that are deemed ""easier"" without  encouraging all teachers to work with students with disabilities. ",Parents and students will read texts. ,"Email, newsletters, anything that is greater than a few lines because even staff members won't read it.","Provie Google text abilities to staff.  Even during the pandemic our hardest to reach families, would reply to a text."
Yes,Yes,General education teacher,,,,High school (grades 9-12),,Students with IEP's are put into general ed classes without consulting the teacher. The only thing a teacher receives is the IEP plan a week or so after the semester starts. ,Continuing to incorporate students with IEP's into general ed classes when students have the ability to be successful in those settings.,I'm not sure.,Direct communication between the school staff and the families of students is most effective. This requires schools to have sufficient staff to have the time to reach out to individual families.,,Communications specific to schools or departments are most beneficial. General emails or newsletters where families and staff members have to skim through the whole thing to see if anything pertains to them. Many people don't take the time to do that.
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),,I work in Technology supporting systems + tech devices. ,,,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,Crisis management and curriculum for ISES.,,Not putting ISES students together in one location. Too much kindling in one space creates a fire. The ISES students feed off one another and positive learning is made extremely difficult.,The presence of ISES classrooms versus inclusion in gen ed.,,,
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,Modifications for small group classes,,"Inclusion, communication",different standards around behavior ,,,
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"How to create music lessons for intensive support classrooms that meet the wide array of needs and developmental differences, and how to scaffold expectations for physical safety for students with developmental disabilities that create instances where students are staff are harmed when their disability is taking over. Students and staff should not have to deal with physical and verbal violence from any student, and when a student's disability shows up this way we need a structure in place to address the student's needs while also addressing the imminent and danger and/or disruption in a given situation.","I feel like I know what to do, but then when I tried to get an IEP amended to meet a student's developmental needs it took me 4 years... so, I really don't feel like it's clear, consistently implemented, or that changes are communicated to all staff. Also, the turnover in SPED personal in buildings and at the central office make it extremely challenging to know who is the case manager for a student and/or who to contact with systemic/access questions.",We need more specialists to meet the wide array of needs. We need staff to help us craft lessons within the given curriculum to meet the needs of all of the students with IEPs while also teaching our gen ed students with differentiation and scaffolding.,"We don't have enough people to support the number of students that need additional help. Please hire more people, especially para educators. Paying them a better wage will increase retention and make the job more interesting for new hires!",Can't think of any,"Constant turn over of staff, inconsistent messaging, lack of communication when systems/staff changes, lack of communication with non-classroom teachers about IEP needs","Give staff more time to meet when they have students with IEPs. Hire subs to give teachers release time to meet during the contract day when we're all in the building. Finding time to meet outside of the contract day doesn't work because we come and go at different times outside the contract day (some come early, some stay late), so finding a single time that we can all meet is simply impossible."
Yes,Yes,Special education teacher,,,,High school (grades 9-12),"Everything has changed with COVID, so training on everything.","Leadership during COVID could not get their head out of their own asses.  The people at the top had no clue, and made decisions that only benefitted the ESC, not the schools, nor the students.",Small school equals better outcomes.  My school does not have to navigate the number of students found at other high schools.,We are the dumping ground for students who the district has failed.  This means our limited resources can be sucked up by only a handful of students.  This is a problem that is new with new district leadership who are imbeciles.,None.,All of them from the district.  My school is fending for itself.,New leadership that has a backbone and sense of direction.
Yes,Yes,Special education teacher,,,,High school (grades 9-12),,,open dialog,none,face to face discussions,none,none
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),,"There is a lack of standardization with placement decisions. It varies from school, quad or leader directing. There is poor collaboration with roll ups. And students with advocates or legal representation are treated differently. They are “squeakier” so the decision making with those families is different. ","Collaboration, leadership, and communication. ","Lack of guidance from District Leadership when the building needs it.  My building is strong, the team in asks for help when really needed. We did not get the help we needed last year, and looking very similar this year, when we need it the most. ",When teams work together and collaborate. ,Leaders need to disseminate information and communicate more effectively. The weekly newsletter was not effective. ,"Have leaders get to know their building needs. Be present, listen, and help when asked. Don’t leave the buildings out in the storm in a leaky dinghy. "
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,"Anything SLP or SPED-specific.  De-escalation strategies, AAC, materials sharing, etc.  ",Much of it seems out of convenience or what the district can/can't offer.  I have students currently in an IS classroom that do not need to be there.  I have students who desperately need a 1-on-1 and don't have one.  It seems to be based on resources the district has and not the need of the student.,"Committing to keeping SPED classrooms at/below trigger.  Staffing based on school need.  Taking into consideration that it is not a ""numbers game"" as it seems to be treated at the district level.  There is a difference between a caseload of 55 articulation students and 55 high-needs IS students.  But this is not considered in the ""algorhythm"" when staffing.  It is so broken.",Elevated classroom/caseload numbers.  Low staffing.  Uneven training.  (I've never had de-escalation training but work with the same students my paras do...),In-person meetings with follow up written correspondence (like email) to allow time for processing information and to give opportunity to ask follow up questions.,"Verbose newsletters with links and very little context.  It always reminds me how little those at the district level understand what our jobs are like day-to-day.  When we have contracted time to get a list of legally-mandated things done, it feels uncaring and inappropriate to push out important district-level items via email with little follow up or opportunities to seek understanding.   We should be allocated time in the contract day to receive important updates in a manner that allows for questions and follow up.",Having more in-person (or Zoom) opportunities to receive important information that won't penalize our planning time.
Yes,Yes,Special education teacher,,,,High school (grades 9-12),I would like more time to collaborate in Job Alikes.,Placement decisions should be made by IEP teams. We have teachers and administrators who make placement decisions for students without an IEP team discussion. ,"Remove the Assistant Superintendent over Student Services and Allow the two Directors to Lead, as the model was before it was changed three years ago. Dana Geaslen was ineffective as a Director of Student Services. She is dreadful as an Assistant Superintendent because her involvement holds up progress when everything must channel down through one office. We have not been able to retain staff in Student Services due to Dana’s involvement. ","We have a toxic culture in our District Office, but a dedicated and willing teaching staff remains. The District Level Administration are completely uninvolved with me or my students. ","All communication up to and including our building principal is highly effective, anything involving District level communication with Student Services seems to have an immediate breakdown. The answers just don’t come, as we wait and wait for clear direction. Principals and teachers are beyond frustrated. The new policy that everything must go through building principals has actually worsened the communication break down with Admin in Student Services. ","At this moment, we have some viable new leaders hired but they are stifled by Dana’s inability to lead/get organized/know what is actually expected of us from OSPI. These new managers deserve time to learn their roles and responsibilities. Having each human body who is in a leadership posit for Student Services actually placed throughout the District in buildings might be a great start. Get them “boots on the ground.” I tried for years to get Dana to even return a phone call and come see my program. She has never been to see who we are and what we do. ","Teachers know how to communicate with each other and with our para educators. Build relationships with the teachers and ask them what works for them. Go physically in to schools and meet people. Know what you are asking if people because you’ve seen it firsthand. I used to see my Assistant Superintendent on a monthly basis in the halls of my school. I see Greg Schwab on our campus all the time. As far as I know, Dana has never been to our campus. "
Yes,Yes,Other (please specify),custodian,,,,,,having more office staff that are true leaders not just by title but by action.,people who know what being said and done is wrong and fixing it and just tunring away from the problem.,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,Behavior.,"Students are not placed appropriately because ""there isn't room"" in special programs. Also, moving all students to their homeschools instead of having specialized self-contained class isn't beneficial. It's too difficult to teach the broad range of abilities in the current classes and they have too many students.",Support from the district office.,Lack of support from the district office.,"Emails, job alikes, a resource where we can go to look for answers to our questions, a clear distintion concerning who we talk to for specific questions.","Talking down to teachers, shaming them when they ask for help early in the year, not replying to emials, being on their phones during meetings, acting unprofessionally during meetings.","Treat us like professionals. Hire people at the ESC who are supportive of teachers, not just concerned with balancing a budget or making us look better on paper. Listen to teachers needs."
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,,Our site has both full classroom Spec Ed and Elem Classrooms with students of special needs.  My responses mostly refer to students placed at the building.,"Spec Ed Teachers take care of their students, but are not included in schoolwide committees/decision making",Right response Training  Unfilled Para Positions  Unfilled Sub positions  ,"Talking about equity, when Special Education has more than enough equitable issues is always ironic.",Making families go to Chase Lake for medical care- an example of non-support,How are programs placed at various schools?  How are students placed at various schools?
